total_hospitalized,active,deaths,isolation,recovered,confirmed,observation,district,hospitalized_today
1046,2999,53,3366,7729,10785,4412,Kasaragod,143
1171,4571,47,14501,6868,11489,15672,Kannur,185
747,1014,5,3106,2624,3643,3853,Wayanad,128
3257,6539,70,21454,12204,18819,24711,Kozhikode,470
2453,5862,73,36830,16602,22543,39283,Malappuram,216
1689,4160,38,9900,7664,11863,11589,Palakkad,194
2546,5582,49,9788,8003,13633,12334,Thrissur,328
2791,7633,62,23896,10529,18232,26687,Ernakulam,329
700,1130,3,9532,2657,3792,10232,Idukki,57
2647,4281,19,18518,6417,10717,21165,Kottayam,179
3399,4538,40,10546,9679,14261,13945,Alappuzha,510
976,2075,6,7171,5763,7845,8147,Pathanamthitta,34
2039,5781,51,18227,8168,14003,20266,Kollam,286
4129,10903,226,24459,23317,34481,28588,Thiruvananthapuram,409
29590,67064,742,211294,128224,196106,240884,Total,3468
